city,state_abbr,elec_score,gas_score,num_establishments,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,elec_lb_ghg,gas_lb_ghg
Loraine,TX,112.3374138,188.1417762,5,41,490,5,691,656509,82954
Lordsburg,NM,8410.444655,12812.32981,57,867,8915,141,16352,11449408,1962985
Lordstown,OH,59609.18987,90889.54048,36,851,8443,159,32528,14394605,3904711
Loreauville,LA,280.3888364,901.4528647,8,165,1934,13,1648,4102963,197880
Lorena,TX,1888.012493,3630.521077,40,390,4646,41,6182,6220368,742099
Lorenzo,TX,90.92873479,179.5809351,48,407,4850,110,16464,10292019,1976342
Loretto,KY,371.8123715,560.7286888,12,91,971,14,1945,1627692,233528
Loretto,MN,1087.680967,1745.560829,16,228,2299,151,25159,2488714,3020156
Loretto,TN,4327.062911,5460.423185,59,986,8305,0,11,13922007,1265
Lorimor,IA,760.76973,887.1694906,7,24,258,10,1599,279661,191996
Lorraine,NY,291.4099897,639.4040165,10,81,771,11,2290,1388804,274867
Los Alamitos,CA,388262.867,826756.8397,303,6370,49709,579,67811,66561058,8140257
Los Altos,CA,372957.7507,705850.3104,497,9962,53776,1686,203670,72005911,24449112
Los Altos Hills,CA,34951.15957,61741.7756,36,1414,7672,183,22103,10273001,2653301
Los Angeles,CA,633042932.1,1093900233,49649,1727121,12023369,127206,14889777,16099407399,1787408917
Los Banos,CA,38580.98282,80079.70723,341,7119,38386,948,114530,51399878,13748516
Los Fresnos,TX,3112.341556,4825.415987,44,468,5582,87,12958,7474083,1555491
Los Gatos,CA,491783.3468,1054990.426,723,20121,108491,2310,279141,145269852,33508889
Los Indios,TX,887.4504177,1526.389521,4,29,347,5,803,464661,96408
Los Lunas,NM,30842.08413,55839.85911,206,5395,55485,549,102060,71260959,12251556
Los Ranchos de Albuquerque,NM,13961.72664,21094.69261,168,2846,29267,439,81484,37588225,9781597
Losantville,IN,94.6157937,184.6976798,4,20,224,6,838,381440,100601
Lost Nation,IA,970.046676,1607.496562,14,56,611,22,3446,661391,413658
Lost Springs,KS,260.1705408,559.4927451,4,27,267,3,484,480141,58115
Lostant,IL,901.2332329,1278.276416,6,139,1587,17,2806,2705485,336810
Lott,TX,414.4978069,340.0828291,12,97,1151,10,1546,1541021,185598
Loudon,NH,34408.62106,66025.755,127,1917,13063,813,71947,14176801,8636755
Loudon,TN,16567.5248,28016.33459,140,6905,67376,401,51348,112942162,6163973
Loudonville,OH,11526.45738,21918.74295,138,785,7754,219,42027,13219622,5045067
Louisa,KY,29183.97516,78990.13873,110,1763,14750,178,24354,25146482,2923524
Louisa,VA,5811.706534,9508.949373,66,1211,15266,222,28758,18925366,3452146
