,city,housing_units,total_pop,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,elec_lb_ghg,gas_lb_ghg,state_id
55577,Bossier City,24793.0,67152.0,31289.0,320186.0,6904.0,570594.0,679390286.0,68495590.0,LA
55578,Haughton,1426.0,3395.0,1909.0,21622.0,300.0,24833.0,45878203.0,2980961.0,LA
55579,Haynesville,1054.0,2684.0,1262.0,14671.0,402.0,33238.0,23410437.0,3989989.0,LA
55580,Heflin,85.0,186.0,107.0,1220.0,21.0,1743.0,1946784.0,209267.0,LA
55581,Homer,1277.0,3046.0,1542.0,17930.0,398.0,32923.0,28609195.0,3952204.0,LA
55583,Lisbon,71.0,159.0,97.0,1122.0,12.0,951.0,1790037.0,114183.0,LA
55584,Hosston,117.0,312.0,177.0,1807.0,36.0,3056.0,3833179.0,366862.0,LA
55586,Ida,93.0,198.0,141.0,1443.0,29.0,2441.0,3061869.0,293042.0,LA
55587,Jamestown,59.0,210.0,84.0,955.0,8.0,653.0,1523978.0,78444.0,LA
55588,Keachi,107.0,335.0,176.0,1651.0,21.0,1748.0,3503505.0,209844.0,LA
55589,Longstreet,61.0,118.0,100.0,940.0,12.0,1007.0,1993978.0,120844.0,LA
55590,Stonewall,782.0,2180.0,1368.0,12830.0,138.0,11425.0,27224265.0,1371448.0,LA
55594,Logansport,537.0,1805.0,880.0,8248.0,105.0,8835.0,17500093.0,1060580.0,LA
55595,Stanley,38.0,136.0,65.0,606.0,7.0,534.0,1285907.0,64159.0,LA
55596,South Mansfield,153.0,320.0,220.0,2059.0,44.0,3432.0,4368264.0,411937.0,LA
55597,Mansfield,1843.0,4979.0,2653.0,24834.0,544.0,42236.0,52694083.0,5070183.0,LA
55600,Dixie Inn,102.0,235.0,125.0,1417.0,22.0,1785.0,2260691.0,214276.0,LA
55601,Minden,4808.0,12790.0,5423.0,62911.0,1903.0,157312.0,100384166.0,18884212.0,LA
55602,Mooringsport,356.0,722.0,604.0,6161.0,50.0,4735.0,13072599.0,568379.0,LA
55603,Oil City,389.0,990.0,594.0,6058.0,95.0,8952.0,12854569.0,1074568.0,LA
55604,Plain Dealing,364.0,903.0,450.0,5101.0,97.0,7982.0,10823185.0,958240.0,LA
55605,Pleasant Hill,254.0,642.0,419.0,3919.0,53.0,4139.0,8314675.0,496832.0,LA
55607,Ringgold,504.0,1429.0,677.0,7684.0,111.0,9177.0,12261461.0,1101680.0,LA
55608,Rodessa,90.0,217.0,136.0,1388.0,28.0,2348.0,2945004.0,281858.0,LA
55609,Saline,80.0,406.0,115.0,1338.0,19.0,1537.0,2134941.0,184467.0,LA
55612,Sarepta,332.0,937.0,411.0,4668.0,116.0,9564.0,7448563.0,1148069.0,LA
55613,Shongaloo,58.0,139.0,77.0,893.0,12.0,1010.0,1425174.0,121228.0,LA
55615,Sibley,441.0,1487.0,555.0,6297.0,109.0,8998.0,10048553.0,1080155.0,LA
55618,Springhill,2192.0,5149.0,2427.0,28206.0,750.0,61970.0,45006819.0,7439093.0,LA
