,city,housing_units,total_pop,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,elec_lb_ghg,gas_lb_ghg,state_id,lof_score_100,lof_score_500,lof_score_1000
58020,Corinth,7122.0,20764.0,12455.0,112792.0,2474.0,206198.0,151028820.0,24752618.0,TX,-0.9878519140575414,-1.0730722767896046,-1.1707212480763105
58027,Oak Point,1120.0,3271.0,2112.0,19103.0,67.0,5573.0,25579451.0,668979.0,TX,-1.0486301448906505,-1.0414970834853412,-1.069966955428353
58028,Cross Roads,399.0,1091.0,744.0,6713.0,39.0,3249.0,8989011.0,390028.0,TX,-0.9937708708313092,-1.009275256568061,-1.019644864901056
58029,Lakewood Village,209.0,547.0,395.0,3578.0,13.0,1089.0,4790379.0,130715.0,TX,-1.019463965065451,-1.004562014757387,-1.0201721483864086
58035,Lowry Crossing,606.0,1584.0,1201.0,10716.0,40.0,3330.0,14348701.0,399793.0,TX,-1.0416742560862688,-1.0132059198183798,-1.0225070972460342
58036,New Hope,273.0,645.0,510.0,4555.0,30.0,2505.0,6099612.0,300721.0,TX,-0.9699020824268182,-0.9916301873511499,-1.00741383832455
58043,Melissa,1828.0,6844.0,3479.0,31121.0,388.0,32177.0,41670588.0,3862562.0,TX,-0.9915052982503175,-1.0230751859529825,-1.0626311084332947
58046,Princeton,2693.0,8278.0,4805.0,42810.0,368.0,30510.0,57322358.0,3662479.0,TX,-0.9812522142032651,-1.05303878100843,-1.1301652417588044
58063,Copper Canyon,524.0,1348.0,1084.0,9817.0,286.0,24227.0,13145354.0,2908250.0,TX,-1.0623058998695547,-1.1270978082342193,-1.0382277417019081
58082,Mobile City,63.0,224.0,118.0,1061.0,22.0,1815.0,1421217.0,217848.0,TX,-1.053370841029508,-0.9874154195945516,-0.9912360332946233
58084,Royse City,3416.0,10532.0,6841.0,61288.0,912.0,75574.0,82064972.0,9072154.0,TX,-0.9688666458617806,-1.059776530475641,-1.1265379908171176
