city,state_abbr,r_housing_units,r_total_pop,r_elec_1kdollars,r_elec_mwh,r_gas_1kdollars,r_gas_mcf,r_elec_lb_ghg,r_gas_lb_ghg,r_elec_class,r_gas_class,c_elec_score,c_gas_score,c_num_establishments,c_elec_1kdollars,c_elec_mwh,c_gas_1kdollars,c_gas_mcf,c_elec_lb_ghg,c_gas_lb_ghg,c_elec_class,c_gas_class,i_elec_score,i_gas_score,i_num_establishments,i_elec_1kdollars,i_elec_mwh,i_gas_1kdollars,i_gas_mcf,i_elec_lb_ghg,i_gas_lb_ghg,i_elec_class,i_gas_class
Moosic,PA,2399.0,5731.0,3084.0,22540.0,1308.0,148873.0,43437286.0,17871125.0,1,1,61026.29128,92884.99193,208.0,2378.0,28540.0,726.0,105966.0,55000398.0,12720444.0,2.0,3.0,34254.065640023844,299470.82843384467,38.0,852.0,12309.0,410.0,55437.0,23721454.0,6654867.0,1.0,1.0
Moreland,PA,333.0,838.0,523.0,3823.0,36.0,3791.0,7367921.0,455140.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Morgan,PA,1028.0,2752.0,1560.0,13349.0,459.0,44562.0,22759469.0,5349352.0,1,1,8950.607014,15304.27024,9.0,45.0,516.0,20.0,2640.0,879840.0,316868.0,1.0,1.0,1809.5491990846685,3903.548054919908,67.0,721.0,10411.0,347.0,46891.0,17750399.0,5628872.0,1.0,1.0
Morris,PA,2311.0,6248.0,3517.0,26413.0,570.0,50445.0,48685384.0,6055564.0,1,1,23970.4538,43057.01159,41.0,323.0,3544.0,162.0,21208.0,6393182.0,2545894.0,1.0,1.0,1809.5491990846685,3903.548054919908,50.0,1980.0,28612.0,954.0,128861.0,49952714.0,15468811.0,2.0,2.0
Morrisville,PA,3382.0,8611.0,5052.0,34168.0,781.0,87958.0,65846649.0,10558757.0,1,1,19703.17932,35433.76993,182.0,1160.0,11422.0,485.0,58633.0,22011836.0,7038518.0,2.0,2.0,,,,,,,,,,,
Morton,PA,1134.0,2684.0,1497.0,10124.0,506.0,56973.0,19509946.0,6839225.0,1,1,12554.94356,26780.87474,72.0,376.0,3707.0,173.0,20926.0,7143758.0,2512051.0,1.0,1.0,5533.190139967264,19614.383676532805,7.0,11.0,153.0,5.0,687.0,294052.0,82494.0,1.0,1.0
Moscow,PA,728.0,2052.0,1258.0,9197.0,100.0,11420.0,17723739.0,1370904.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Mount Carbon,PA,47.0,85.0,72.0,529.0,8.0,697.0,1019043.0,83660.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Mount Carmel,PA,4048.0,8800.0,5342.0,39042.0,997.0,87192.0,75239545.0,10466727.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Mount Gretna,PA,155.0,240.0,230.0,1702.0,13.0,1366.0,3280419.0,163931.0,1,1,731.8207633,1260.377656,4.0,21.0,219.0,6.0,701.0,422592.0,84151.0,1.0,1.0,,,,,,,,,,,
Mount Holly Springs,PA,871.0,1971.0,1459.0,10894.0,147.0,13203.0,20993514.0,1584973.0,1,1,3807.36373,6364.916936,29.0,80.0,824.0,59.0,7309.0,1588394.0,877440.0,1.0,1.0,,,,,,,,,,,
Mount Jewett,PA,253.0,967.0,308.0,2377.0,169.0,15682.0,4052081.0,1882496.0,1,1,1930.010782,3675.15097,16.0,129.0,1395.0,95.0,12501.0,2378146.0,1500704.0,1.0,1.0,,,,,,,,,,,
Mount Joy,PA,8811.0,21362.0,13572.0,99785.0,1626.0,167969.0,192299683.0,20163440.0,3,1,49817.05172,79769.68375,42.0,3690.0,43094.0,47.0,7021.0,6139039.0,842786.0,3.0,1.0,7814.262667242654,47549.4336040979,165.0,3185.0,46010.0,1533.0,207216.0,88666632.0,24874724.0,2.0,2.0
Mount Lebanon,PA,13949.0,32963.0,17697.0,113965.0,10896.0,1226604.0,194297427.0,147244820.0,3,3,6221.92,10168.81,42.0,417.0,4199.0,47.0,7021.0,6139039.0,842786.0,1.0,1.0,4986.8855065801035,28180.110805204316,69.0,246.0,3553.0,118.0,16000.0,6056677.0,1920648.0,1.0,1.0
Mount Oliver,PA,1390.0,3362.0,1713.0,11031.0,1217.0,136951.0,18806830.0,16439929.0,1,1,1804.128799,3085.620031,101.0,880.0,9367.0,293.0,39623.0,15970147.0,4756391.0,1.0,2.0,,,,,,,,,,,
Mount Penn,PA,1267.0,3177.0,1616.0,11977.0,517.0,56346.0,23080536.0,6763895.0,1,1,1665.910414,3130.548248,58.0,308.0,3201.0,187.0,22990.0,6169491.0,2759741.0,1.0,1.0,168.94931161184647,825.662667670105,7.0,64.0,931.0,31.0,4195.0,1794948.0,503559.0,1.0,1.0
Mount Pleasant,PA,8605.0,21912.0,13457.0,109755.0,1950.0,161286.0,194657305.0,19361209.0,3,1,67701.86769,107398.4035,42.0,3189.0,36675.0,774.0,98625.0,63897723.0,11839182.0,3.0,3.0,75928.52071777012,327439.3769286451,50.0,3045.0,44002.0,1466.0,198173.0,76413913.0,23789057.0,2.0,2.0
Mount Pocono,PA,1119.0,3087.0,2264.0,16550.0,113.0,12374.0,31894450.0,1485403.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Mount Union,PA,1069.0,2421.0,1445.0,9660.0,185.0,16208.0,18615397.0,1945692.0,1,1,17102.19057,32993.58682,44.0,505.0,5024.0,113.0,15058.0,9682733.0,1807644.0,1.0,1.0,,,,,,,,,,,
Mount Wolf,PA,586.0,1708.0,785.0,5761.0,291.0,26113.0,11101393.0,3134724.0,1,1,964.920479,2083.06138,8.0,397.0,4633.0,35.0,4387.0,8927615.0,526641.0,1.0,1.0,,,,,,,,,,,
Mountville,PA,1264.0,2852.0,2134.0,15595.0,201.0,21957.0,30053278.0,2635769.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Muddy Creek,PA,1025.0,2329.0,1527.0,12717.0,562.0,44479.0,21680365.0,5339382.0,1,1,,,,,,,,,,,,8357.005203352288,33932.5273042085,29.0,200.0,2888.0,96.0,13007.0,4923804.0,1561399.0,1.0,1.0
Muhlenberg,PA,7589.0,19407.0,10315.0,76453.0,2560.0,279230.0,147335427.0,33519467.0,2,1,6221.92,10168.81,42.0,417.0,4199.0,47.0,7021.0,6139039.0,842786.0,1.0,1.0,,,,,,,,,,,
Muncy,PA,1451.0,3433.0,2171.0,15867.0,398.0,41643.0,30577629.0,4998898.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Muncy Creek,PA,1362.0,3437.0,2037.0,14890.0,373.0,39078.0,28694154.0,4690984.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Munhall,PA,4958.0,11305.0,5715.0,36801.0,4089.0,396973.0,62742328.0,47653740.0,1,1,40286.71815,65905.40903,193.0,1528.0,16274.0,542.0,71060.0,27744890.0,8530199.0,2.0,2.0,675.7972464473859,3302.65067068042,21.0,678.0,9253.0,327.5,470174.0,13496294.5,56440985.0,1.0,3.0
Munster,PA,247.0,604.0,356.0,2409.0,31.0,2919.0,4642694.0,350419.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Murrysville,PA,8031.0,20159.0,10268.0,84241.0,5451.0,613645.0,143622264.0,73663582.0,2,2,6221.92,10168.81,42.0,417.0,4199.0,47.0,7021.0,6139039.0,842786.0,1.0,1.0,7649.32,39969.32,50.0,4302.0,62153.0,2071.0,279921.0,105963940.0,33602483.0,3.0,2.0
Myerstown,PA,1199.0,3144.0,1518.0,11252.0,251.0,27428.0,21683412.0,3292587.0,1,1,7422.480036,11847.49463,74.0,348.0,3612.0,140.0,17136.0,6960917.0,2057069.0,1.0,1.0,168.94931161184647,825.662667670105,20.0,2200.0,31787.0,1059.0,143159.0,61257040.0,17185179.0,2.0,2.0
Nanticoke,PA,4450.0,10302.0,4587.0,39427.0,2426.0,276231.0,75980785.0,33159459.0,1,1,20638.99665,41578.93104,168.0,1101.0,11239.0,357.0,52152.0,21658154.0,6260490.0,2.0,2.0,6063.260084214669,31189.159719503084,21.0,318.0,4594.0,153.0,20689.0,8852691.0,2483553.0,1.0,1.0
Nanty-Glo,PA,1136.0,2628.0,1540.0,10347.0,40.0,13108.0,19940628.0,1573568.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Napier,PA,830.0,2091.0,1317.0,10173.0,97.0,7781.0,19605466.0,934052.0,1,1,6233.451603,12259.30565,40.0,185.0,2002.0,70.0,8988.0,3859000.0,1078903.0,1.0,1.0,,,,,,,,,,,
Narberth,PA,1809.0,4305.0,2514.0,17003.0,974.0,109682.0,32768055.0,13166513.0,1,1,24178.68335,43958.28871,123.0,912.0,8980.0,309.0,37377.0,17305534.0,4486820.0,1.0,2.0,2590.3033849477856,19418.91897731365,18.0,52.0,750.0,25.0,3379.0,1446053.0,405679.0,1.0,1.0
Nazareth,PA,2495.0,5703.0,3043.0,22327.0,333.0,36344.0,43027891.0,4362878.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Nelson,PA,225.0,549.0,282.0,1871.0,140.0,12257.0,3606102.0,1471358.0,1,1,1042.98154,2422.292681,2.0,9.0,90.0,3.0,334.0,173069.0,40116.0,1.0,1.0,,,,,,,,,,,
Nescopeck,PA,1137.0,2622.0,1664.0,12243.0,223.0,24758.0,23594090.0,2971955.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Neshannock,PA,4127.0,9548.0,6865.0,52243.0,2172.0,289568.0,89069333.0,34760491.0,2,1,,,,,,,,,,,,67267.29988697928,293398.9417132148,42.0,860.0,12424.0,414.0,55953.0,21180974.0,6716750.0,1.0,1.0
Nesquehoning,PA,1361.0,3279.0,1946.0,14221.0,90.0,9342.0,27406220.0,1121446.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Nether Providence,PA,5106.0,13639.0,9101.0,61551.0,2275.0,256337.0,118616324.0,30771351.0,2,1,6221.92,10168.81,190.0,907.0,8931.0,347.0,42030.0,17211803.0,5045370.0,1.0,2.0,6080.122807094281,40970.277127145804,36.0,95.0,1371.0,46.0,6173.0,2641374.0,741017.0,1.0,1.0
