city,state_abbr,elec_score,gas_score,num_establishments,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,elec_lb_ghg,gas_lb_ghg
Mount Pleasant,TN,13670.851026735356,20715.888173302486,102.0,1735.0,15275.0,221.0,28335.0,25605139.0,3401388.0
Mount Pleasant,TX,54875.09275325301,111883.69740919306,333.0,5905.0,70385.0,481.0,74154.0,149346509.0,8901592.0
Mount Pleasant,UT,13886.391538419097,38694.89464303542,59.0,445.0,5054.0,192.0,25809.0,6233258.0,3098173.0
Mount Pleasant,WI,297470.4150664407,559315.8817482907,428.0,26265.0,226380.0,2737.0,463059.0,385954171.0,55586844.0
Mount Prospect,IL,520381.05107505794,874229.5190677728,694.0,9734.0,111485.0,3374.0,559329.0,190070740.0,67143398.0
Mount Pulaski,IL,4801.781534427747,6632.269583294331,42.0,335.0,3770.0,413.0,54404.0,3851404.0,6530804.0
Mount Rainier,DC,7788.4295984105165,9163.556960486449,108.0,1884.0,15959.0,1112.0,128709.0,30755770.0,15450629.0
Mount Rainier,MD,23365.288795231543,27490.670881459344,108.0,1884.0,15959.0,1112.0,128709.0,30755770.0,15450629.0
Mount Shasta,CA,27223.29656163499,62834.79057264861,121.0,1791.0,11795.0,255.0,30758.0,14548164.0,3692268.0
Mount Sterling,IL,6784.101833845132,10765.460334996958,81.0,627.0,7053.0,0.0,0.0,7205351.0,0.0
Mount Sterling,KY,20717.076134359708,35973.899700697584,208.0,3237.0,34526.0,430.0,55106.0,57876958.0,6615084.0
Mount Sterling,OH,4364.727311104091,6283.588698236314,67.0,801.0,8090.0,207.0,37453.0,13792074.0,4496016.0
Mount Tabor,VT,2085.4969257220587,2390.679607699101,5.0,38.0,265.0,0.0,0.0,287604.0,0.0
Mount Union,IA,30.061484817666717,62.47871567630394,7.0,29.0,313.0,11.0,1669.0,319464.0,200352.0
Mount Union,PA,17102.190567669386,32993.58682278888,44.0,505.0,5024.0,113.0,15058.0,9682733.0,1807644.0
Mount Vernon,IA,19945.5879759605,34218.731087558685,88.0,440.0,4818.0,177.0,27738.0,5214497.0,3329781.0
Mount Vernon,IL,93565.78937010972,194739.06986268694,352.0,8796.0,98911.0,0.0,0.0,101048516.0,0.0
Mount Vernon,IN,15925.111506464616,23038.746966361603,124.0,1194.0,9737.0,178.0,28434.0,16601175.0,3413342.0
Mount Vernon,KY,35542.44506545123,70784.45880687276,168.0,1646.0,14561.0,178.0,28434.0,24687036.0,3413353.0
Mount Vernon,ME,14091.611746231203,20622.27584403521,13.0,110.0,926.0,18.0,1654.0,1004534.0,198496.0
Mount Vernon,MO,21987.48297107844,51886.303455960166,111.0,2046.0,18613.0,0.0,0.0,19015530.0,0.0
Mount Vernon,NY,847523.1287175941,1485661.3065256688,1207.0,30305.0,183785.0,6226.0,1166598.0,275382852.0,140041610.0
Mount Vernon,OH,53736.37827886961,113142.65231098802,404.0,4976.0,49150.0,841.0,153178.0,83794721.0,18387851.0
Mount Vernon,OR,163.59785317281055,258.05008374359227,10.0,98.0,1257.0,0.0,0.0,1550931.0,0.0
Mount Vernon,SD,797.483625265693,1221.7118036350146,7.0,55.0,549.0,6.0,1068.0,594412.0,128157.0
Mount Vernon,TX,19295.24780935829,48018.74298977914,53.0,680.0,8099.0,54.0,8167.0,17184440.0,980339.0
Mount Vernon,WA,145244.77093430358,281025.54165356985,478.0,7729.0,78147.0,1638.0,187420.0,96388053.0,22498352.0
Mount Victory,OH,153.20214314673936,300.0161135175801,18.0,137.0,1391.0,22.0,4147.0,2370674.0,497776.0
Mount Washington,CT,2374.319347273824,3716.490297179032,3.0,26.0,173.0,3.0,365.0,187942.0,43835.0
Mount Washington,KY,24651.762396521757,44738.15641456653,171.0,2205.0,23829.0,323.0,43468.0,39945324.0,5218056.0
Mount Washington,MA,7122.958041821468,11149.470891537097,3.0,26.0,173.0,3.0,365.0,187942.0,43835.0
Mount Washington,NY,7122.958041821468,11149.470891537097,3.0,26.0,173.0,3.0,365.0,187942.0,43835.0
Mount Wolf,PA,964.9204790426254,2083.0613799642897,8.0,397.0,4633.0,35.0,4387.0,8927615.0,526641.0
Mount Zion,IL,24742.05309437039,44710.079352531364,55.0,522.0,5857.0,0.0,0.0,5983772.0,0.0
Mountain,ND,677.2740931530373,490.45342348143373,28.5,460.5,5824.75,32.75,5437.5,6304458.0,652691.75
Mountain,WI,145.7049948506694,319.70200823892895,9.0,65.0,698.0,30.0,5003.0,910658.0,600588.0
