zip,city,city_vmt_estimate,natl_avg_vmt_estimate,natl_per_capita_vmt_estimate
01223,Middlefield,1763027,75422411,7555
01223,Becket,619386815,75422411,7555
01223,Tyringham,2371906,75422411,7555
01223,Lee,103024219,75422411,7555
01223,Hinsdale,6237784,75422411,7555
01223,Washington,3981906,75422411,7555
01223,Otis,38022822,75422411,7555
01223,Blandford,90129994,75422411,7555
01223,Peru,2898208,75422411,7555
01223,Chester,8886866,75422411,7555
01224,Cheshire,46993462,75422411,7555
01224,Lanesborough,38446901,75422411,7555
01225,Savoy,6105746,75422411,7555
01225,Williamstown,37633412,75422411,7555
01225,Cheshire,46993462,75422411,7555
01225,Windsor,13096326,75422411,7555
01225,New Ashford,5270100,75422411,7555
01225,Adams,32959025,75422411,7555
01225,Dalton,29947197,75422411,7555
01225,Lanesborough,38446901,75422411,7555
01226,Pittsfield,204187483,75422411,7555
01226,Cheshire,46993462,75422411,7555
01226,Windsor,13096326,75422411,7555
01226,Hinsdale,6237784,75422411,7555
01226,Washington,3981906,75422411,7555
01226,Dalton,29947197,75422411,7555
01226,Lanesborough,38446901,75422411,7555
01229,Stockbridge,66163593,75422411,7555
01230,Sandisfield,16978346,75422411,7555
01230,Austerlitz,15666574,75422411,7555
01230,New Marlborough,5696300,75422411,7555
01230,Hillsdale,17126541,75422411,7555
01230,West Stockbridge,37644108,75422411,7555
01230,Stockbridge,66163593,75422411,7555
01230,Sheffield,28801997,75422411,7555
01230,Alford,1408286,75422411,7555
01230,Copake,16463322,75422411,7555
01230,Monterey,5571925,75422411,7555
01230,Mount Washington,421697,75422411,7555
01230,Egremont,10071910,75422411,7555
01230,Great Barrington,53801839,75422411,7555
01235,Middlefield,1763027,75422411,7555
01235,Worthington,5096694,75422411,7555
01235,Windsor,13096326,75422411,7555
01235,Hinsdale,6237784,75422411,7555
01235,Washington,3981906,75422411,7555
01235,Dalton,29947197,75422411,7555
01235,Peru,2898208,75422411,7555
01235,Cummington,11988201,75422411,7555
01236,West Stockbridge,37644108,75422411,7555
01236,Stockbridge,66163593,75422411,7555
01236,Great Barrington,53801839,75422411,7555
01237,Williamstown,37633412,75422411,7555
01237,Cheshire,46993462,75422411,7555
01237,New Ashford,5270100,75422411,7555
01237,Hancock,10745559,75422411,7555
01237,Lanesborough,38446901,75422411,7555
01238,Becket,619386815,75422411,7555
01238,Lenox,63369312,75422411,7555
01238,Stockbridge,66163593,75422411,7555
01238,Tyringham,2371906,75422411,7555
01238,Lee,103024219,75422411,7555
01238,Monterey,5571925,75422411,7555
01238,Washington,3981906,75422411,7555
01238,Great Barrington,53801839,75422411,7555
01240,Lenox,63369312,75422411,7555
01240,Pittsfield,204187483,75422411,7555
01240,Stockbridge,66163593,75422411,7555
01240,Lee,103024219,75422411,7555
01240,Washington,3981906,75422411,7555
01242,Lenox,63369312,75422411,7555
01242,Lee,103024219,75422411,7555
01243,Middlefield,1763027,75422411,7555
01245,Sandisfield,16978346,75422411,7555
01245,New Marlborough,5696300,75422411,7555
01245,Tyringham,2371906,75422411,7555
01245,Monterey,5571925,75422411,7555
01245,Otis,38022822,75422411,7555
01245,Great Barrington,53801839,75422411,7555
01247,Rowe,1815801,75422411,7555
01247,Florida,7406398,75422411,7555
01247,Savoy,6105746,75422411,7555
01247,Williamstown,37633412,75422411,7555
01247,Clarksburg,4225844,75422411,7555
01247,North Adams,65061671,75422411,7555
01247,Stamford,2772695,75422411,7555
01247,Pownal,22941627,75422411,7555
01247,Adams,32959025,75422411,7555
01247,Monroe,1753059,75422411,7555
01247,Charlemont,16212671,75422411,7555
01253,Becket,619386815,75422411,7555
01253,Sandisfield,16978346,75422411,7555
01253,Tyringham,2371906,75422411,7555
01253,Otis,38022822,75422411,7555
01253,Blandford,90129994,75422411,7555
01254,Lenox,63369312,75422411,7555
01254,West Stockbridge,37644108,75422411,7555
01254,Richmond,8584603,75422411,7555
01254,Stockbridge,66163593,75422411,7555
01254,Canaan,73927117,75422411,7555
01255,Tolland,2149828,75422411,7555
01255,Sandisfield,16978346,75422411,7555
01255,Norfolk,13374955,75422411,7555
01255,New Marlborough,5696300,75422411,7555
01255,Monterey,5571925,75422411,7555
01255,Otis,38022822,75422411,7555
01255,Colebrook,10027445,75422411,7555
01256,Florida,7406398,75422411,7555
01256,Savoy,6105746,75422411,7555
01256,Cheshire,46993462,75422411,7555
01256,Hawley,1958008,75422411,7555
01256,Plainfield,5043473,75422411,7555
01256,Windsor,13096326,75422411,7555
01256,Adams,32959025,75422411,7555
01256,Charlemont,16212671,75422411,7555
01257,Salisbury,28596083,75422411,7555
01257,New Marlborough,5696300,75422411,7555
01257,Sheffield,28801997,75422411,7555
01257,Mount Washington,421697,75422411,7555
01257,Egremont,10071910,75422411,7555
01257,Great Barrington,53801839,75422411,7555
01258,Salisbury,28596083,75422411,7555
01258,Sheffield,28801997,75422411,7555
01258,Copake,16463322,75422411,7555
01258,North East,18377598,75422411,7555
01258,Mount Washington,421697,75422411,7555
01258,Egremont,10071910,75422411,7555
01258,Ancram,8076844,75422411,7555
01259,North Canaan,26578690,75422411,7555
01259,Sandisfield,16978346,75422411,7555
01259,Norfolk,13374955,75422411,7555
01259,New Marlborough,5696300,75422411,7555
01259,Sheffield,28801997,75422411,7555
01262,Stockbridge,66163593,75422411,7555
01264,Tyringham,2371906,75422411,7555
01266,Austerlitz,15666574,75422411,7555
01266,West Stockbridge,37644108,75422411,7555
01266,Richmond,8584603,75422411,7555
01266,Stockbridge,66163593,75422411,7555
01266,Alford,1408286,75422411,7555
01266,Canaan,73927117,75422411,7555
01266,Great Barrington,53801839,75422411,7555
01267,Williamstown,37633412,75422411,7555
01267,Clarksburg,4225844,75422411,7555
01267,Berlin,7316855,75422411,7555
01267,North Adams,65061671,75422411,7555
01267,Stephentown,15400631,75422411,7555
01267,Petersburgh,14179100,75422411,7555
01267,Pownal,22941627,75422411,7555
01267,New Ashford,5270100,75422411,7555
01267,Hancock,10745559,75422411,7555
01267,Lanesborough,38446901,75422411,7555
01270,Savoy,6105746,75422411,7555
01270,Cheshire,46993462,75422411,7555
01270,Plainfield,5043473,75422411,7555
01270,Windsor,13096326,75422411,7555
01270,Hinsdale,6237784,75422411,7555
01270,Dalton,29947197,75422411,7555
01270,Peru,2898208,75422411,7555
01270,Cummington,11988201,75422411,7555
01301,Shelburne,39911788,75422411,7555
01301,Gill,13559600,75422411,7555
01301,Deerfield,118232254,75422411,7555
01301,Montague,31503743,75422411,7555
01301,Bernardston,65154022,75422411,7555
01301,Greenfield Town,164735143,75422411,7555
01301,Colrain,9830649,75422411,7555
01301,Leyden,2956068,75422411,7555
01330,Buckland,6510810,75422411,7555
01330,Conway,8931146,75422411,7555
01330,Hawley,1958008,75422411,7555
01330,Plainfield,5043473,75422411,7555
01330,Goshen,10536988,75422411,7555
01330,Cummington,11988201,75422411,7555
01330,Ashfield,8818513,75422411,7555
01331,Phillipston,26943238,75422411,7555
01331,New Salem,16397328,75422411,7555
01331,Athol,65310391,75422411,7555
01331,Orange,31729187,75422411,7555
01331,Templeton,154224132,75422411,7555
01331,Hubbardston,22873088,75422411,7555
01331,Petersham,10694082,75422411,7555
01331,Royalston,5320122,75422411,7555
01337,Gill,13559600,75422411,7555
01337,Bernardston,65154022,75422411,7555
01337,Greenfield Town,164735143,75422411,7555
01337,Vernon,24158755,75422411,7555
01337,Guilford,27826240,75422411,7555
01337,Northfield,14192291,75422411,7555
01337,Colrain,9830649,75422411,7555
01337,Leyden,2956068,75422411,7555
01338,Buckland,6510810,75422411,7555
01338,Ashfield,8818513,75422411,7555
01339,Buckland,6510810,75422411,7555
01339,Rowe,1815801,75422411,7555
01339,Florida,7406398,75422411,7555
01339,Savoy,6105746,75422411,7555
01339,Heath,972817,75422411,7555
01339,Hawley,1958008,75422411,7555
01339,Plainfield,5043473,75422411,7555
01339,Charlemont,16212671,75422411,7555
01339,Ashfield,8818513,75422411,7555
01340,Shelburne,39911788,75422411,7555
01340,Heath,972817,75422411,7555
01340,Greenfield Town,164735143,75422411,7555
01340,Whitingham,6269917,75422411,7555
01340,Halifax,2630486,75422411,7555
01340,Guilford,27826240,75422411,7555
01340,Charlemont,16212671,75422411,7555
01340,Colrain,9830649,75422411,7555
01340,Leyden,2956068,75422411,7555
01341,Conway,8931146,75422411,7555
01341,Shelburne,39911788,75422411,7555
01341,Deerfield,118232254,75422411,7555
01341,Whately,57064812,75422411,7555
01341,Goshen,10536988,75422411,7555
01341,Ashfield,8818513,75422411,7555
01341,Williamsburg,22810955,75422411,7555
01342,Conway,8931146,75422411,7555
01342,Shelburne,39911788,75422411,7555
01342,Deerfield,118232254,75422411,7555
01342,Montague,31503743,75422411,7555
01342,Greenfield Town,164735143,75422411,7555
01343,Florida,7406398,75422411,7555
01344,Erving,31206213,75422411,7555
01344,Gill,13559600,75422411,7555
01344,Wendell,4787459,75422411,7555
01344,Montague,31503743,75422411,7555
01344,Orange,31729187,75422411,7555
01344,Northfield,14192291,75422411,7555
01344,Warwick,4747825,75422411,7555
01346,Heath,972817,75422411,7555
01346,Charlemont,16212671,75422411,7555
01347,Montague,31503743,75422411,7555
01349,Erving,31206213,75422411,7555
